huc,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
HUC180400091306,884.014491932665,9624.64131950079,103.724937207393,3.28544220136639,1.36498117012395,0.00302535603170909,1364.98117012395,2.41955534095111,14.2480231335549,3.1640339073976,68.7524696150314,59.3667630564788,73.6774349269723,1074,203
HUC180400091307,458.049380779711,6063.92313510191,55.0146185215197,2.61830117871503,0.939584259182368,0.00159821078623821,939.584259182369,2.14334623359848,14.6944549721173,2.80283738239801,34.4953997026522,61.2268957171552,75.9859623926208,808,171
HUC180400091308,320.224210096057,5942.48617322929,70.3203908437372,2.48425782675091,0.658682937357782,0.00420158494925586,658.682937357783,1.84328479399172,12.7602615645927,2.41044934598917,59.684650721614,53.1677565191363,65.984125114335,972,433
HUC180400091402,384.608715431453,6523.03664990566,76.3473648886431,4.6439319485351,0.825690397377037,0.00905979174873227,825.690397377037,2.0270436908848,11.1155666458537,2.65074944192627,93.6819673249066,46.3148610243906,57.4793029566046,1540,550
HUC180400091403,373.555839512758,5251.6464542832,57.8185545331603,2.83890808120594,0.72799521636427,0.00736054663184481,727.99521636427,1.83504346277556,40.764848950671,2.39967222055266,43.0740631329869,169.853537294463,210.797629798735,1482,711
HUC180400100702,591.524143251509,5222.82970154581,101.479428954015,2.04401835169211,0.954592553963395,0.00423051284843146,954.592553963395,0.934065812234007,52.2908344723683,1.22147067753678,26.9971927053425,217.878476968201,270.399234897491,936,304
HUC180400100703,422.93262382675,6243.61211684386,77.2782817875709,2.75404321574291,0.736174260159193,0.00269515707974318,736.174260159193,2.72787117696733,22.5203525201645,3.56721615449574,54.576429439219,93.834802167352,116.454176960823,1059,382
HUC180400100704,218.171870671387,5621.23581120673,81.9989386477906,3.69224481190945,0.46775356343659,0.0652921188417753,467.75356343659,1.02115333747116,14.5936808901309,1.53755299272138,28.606880522862,60.8070037088789,75.4648531974521,1130,314
HUC180400100705,216.032803215116,4026.7711163579,44.7767450313928,4.30167416548363,0.451286782200516,0.0112927489092787,451.286782200516,1.02822388863275,4.93937959779,2.05432291137643,25.2239583282246,27.0103346134834,27.029671744977,1170,524
HUC180400100706,196.043974769809,5234.84502818458,62.9351767542683,3.61328489517687,0.404057960044552,0.030974683032661,404.057960044552,0.883346343792768,12.2021362706773,1.4791297786532,25.9289151306236,50.8422344611553,63.0980236785007,1454,451
HUC180400110307,475.212530041855,4360.87329147265,86.1166011008874,2.05011098615869,0.8001842298661,0.00398747401539211,800.1842298661,0.888977798882564,21.6144583939424,7.619330567502,31.4930413036887,90.0602433080934,111.769740747474,1071,158
HUC180400110308,234.884276860128,4599.74734767616,18.3098283694997,1.49107172793677,0.490336258904318,0.00149186631109272,490.336258904318,0.310035367753595,23.6041470785334,0.856351812138907,7.5616272059598,98.3506128272226,122.058547637368,549,182
HUC180400120901,260.416377200519,3393.02394860619,190.390786641262,2.31582919483669,0.454971178862077,0.00175774918640252,454.971178862077,0.0695486789872074,12.1793276669887,31.8605191482994,58.4580461510266,50.7471986124528,62.9800789363923,1139,106
HUC180400120902,224.347825949819,3473.2982996071,94.8515660808899,2.22339132590521,0.424492451320168,0.000923637254214595,424.492451320168,0.0854143887114952,2.73302576376144,2.74011180373628,76.4761361706213,14.9124112899503,14.9230873242211,775,207
HUC180400120903,111.788506901075,1790.03376898018,60.6253490427397,2.18310561950615,0.156700177308389,0.031475031700172,156.700177308389,0.11150067146846,27.8751678671151,2.20901494432541,26.7496864846649,116.146532779646,144.144268110504,799,248
HUC180400121001,81.1105319647666,1061.36015939045,166.843507754531,0.765188107270736,0.113833245306465,0.0131966264395357,113.833245306465,0.0822532301074523,3.24790218894365,2.68839210478416,6.54431449507458,13.5329257872652,16.7951090429878,508,136
HUC180400121002,317.959215035734,4003.01174695536,107.838051258849,2.2156040472013,0.561159787577889,0.0269244020101878,561.159787577889,0.0431390345657338,10.7847586414335,3.19361509932975,15.7450525991032,44.9364943393061,55.7686737001433,765,629
HUC180400121101,122.258117548513,2102.71712706651,79.0600766352348,1.06411017319225,0.259083941051729,0.033185389879434,259.083941051729,0.228302779102288,49.6556904437265,5.5184924258894,57.2678165555217,206.898710182194,256.772737321401,584,217
HUC180400121102,120.329311649496,3077.6491812043,44.8548655301504,1.80546503705202,0.265672505508257,0.00144823685287639,265.672505508257,0.0442899663697745,8.63907614836893,2.74783023407353,32.4492809210539,35.9961506182039,44.6732128930648,940,264
HUC180400121103,252.487886700498,3708.17864907581,48.0022788200321,0.824480262649557,0.478138479780917,0.00379167731549564,478.138479780917,0.0390158838026536,9.75397095066339,2.09443439461722,29.1352956436997,40.6415456277641,50.438404911389,436,73
HUC180400121104,97.173819293071,1664.08275579307,27.2755556632868,0.962015321499882,0.235926899206087,0.00634603140434006,235.926899206087,0.0513142907877547,0.326464624343189,0.723955016346589,16.9041229160953,3.72458797022366,3.7272544624523,418,19
HUC180400121105,145.539686366424,3303.1844500356,13.7631184502434,1.11920497323894,0.179835516621127,0.0118018245680445,179.835516621127,0.0405092411914341,5.10201676387975,0.865350968914035,74.2942904982814,21.2584031828323,26.3828535785991,582,216
HUC180400121106,362.551328547873,1227.08931434112,7.49587496453886,0.20152193328439,0.349307847425593,0.00370891610406338,349.307847425593,0.0611317942498055,1.65718588801203,0.261171193908519,0.293088343356127,3.08272709458595,3.08493406832544,2,23
HUC180400130501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180400130502,518.838823726899,1353.19202532471,86.4876521546315,0.621842031390736,0.740956953459541,0.0601157964989058,740.956953459541,0.0624111377819892,0.0847918158378741,6.31620794919057,15.3754547791725,0.0491072770081256,0.73641083718223,151,0
HUC180400130503,285.868871622523,4083.62304948993,151.130774105656,1.91487955473772,0.624675761229415,0.0101173551977469,624.675761229415,0.236138369445029,1.24165507388854,16.8338852200946,46.4537279395903,23.1509447230409,23.1675188554505,985,79
HUC180400130606,402.398563009844,5579.21825403381,461.240049594479,7.10366112982694,0.887401526792461,0.0416441654436448,887.401526792461,0.396389061277383,4.20641079862433,48.8152827275549,96.2412998952023,24.9056144482711,24.9234447768623,1470,117
HUC180400130703,471.196889204371,3145.64352619821,141.450235852161,1.71319716423353,0.712105333671837,0.00135051229716277,712.105333671837,0.132833382473825,33.2083456184562,12.2506653574025,81.8300654952894,138.368106743567,171.722469875423,1104,147
HUC180400130704,330.326146926228,2533.27869883672,87.8480286871419,1.89015511921581,0.491197667294857,0.0100232640784532,491.197667294857,0.175728188080518,42.2866307880133,7.08713722965461,53.1312233245752,176.194294950055,218.666860585551,1080,163
HUC180400130705,239.97085778901,3088.94557716621,118.140620126857,3.46117644068865,0.400973749408751,0.0178099506602832,400.973749408751,0.257028359562445,11.8784239846317,43.7557852321694,32.4490327210141,49.4934332692989,61.4240868336051,1672,167
HUC180400130801,325.726689777646,1655.3935635518,103.934967279399,1.25686324891875,0.42021161211409,0.00149583378870803,420.21161211409,0.151832209457344,0.984520839018684,1.52351152792205,64.1442089177652,12.7226333987421,12.7317417359211,641,211
HUC180400130802,163.558893233791,3603.85380721676,147.969339075692,1.94876272576186,0.324842337572089,0.0324692587266093,324.842337572089,0.10314067889073,10.8439419909918,5.28963389999308,70.7000189562174,45.1830916291323,56.0747145694603,947,218
HUC180400130803,283.342594245676,2095.48765411403,137.607564258782,1.72404480745407,0.40383245681723,0.00232301676424787,403.83245681723,0.125854419522567,8.2057089274472,5.36924112091453,52.4751315416494,34.1904538643633,42.432243397181,631,156
HUC180400510104,283.648427466291,2774.95457678684,149.205782502493,1.11649164067676,0.546608302724758,0.00765659994858546,546.608302724758,0.088920515028533,0.880376233354025,0.845454099672939,30.5101507536467,3.66823430564177,4.55248156436777,471,3
HUC180400510204,261.9315329739,5455.58314689166,54.7103034632498,1.68079176004161,0.41977192021622,0.0020659363646353,419.77192021622,0.763699982458482,11.1957211523659,0.998684592445707,34.8417669363787,46.6488381348579,57.8937870139575,1154,451
HUC180400510301,586.886396949295,4606.85261636123,183.167346899106,3.15743802863135,1.01393806417812,0.00405275664668655,1013.93806417812,3.12283477106216,29.3808546397753,4.69143767827295,54.2714237036904,122.42022766573,151.930270292927,976,260
HUC180400510302,158.371857792889,4383.07921660192,151.938614236006,3.52022854292039,0.349016831652563,0.00551757248248855,349.016831652563,0.542225122243453,12.174191262567,1.04075461770708,24.0430336416811,50.7257969273626,62.9535182620456,1154,250
HUC180400510303,277.388563780272,4702.25090334774,77.9671667076342,3.47116689746528,0.500636449329183,0.0124081045968758,500.636449329183,1.38193527532863,3.61730154163888,1.8071461292759,37.8193995065325,15.0720897568287,18.7052966188468,954,368
HUC180400510304,171.864690925136,5767.12872415541,37.2823845309651,2.74702165340734,0.369463450789995,0.0122787882794259,369.463450789995,0.502834729088877,6.93170202187829,1.29358208414788,21.592084115056,28.8820917578262,35.8442725606859,967,395
HUC180400510401,405.902420051934,3631.36810502556,79.5758007814092,1.28916992622741,0.729354817862084,0.0793549734314466,729.354817862084,1.23417665846917,14.3024527712915,1.61392332261353,38.1992923298964,59.5935532137147,73.9588940497466,1525,85
HUC180400510402,137.02426509451,1762.95219118849,19.0188550529198,0.657032608081017,0.255417808562187,0.00125409021796744,255.417808562187,0.158352572441066,9.59948761940502,0.749014662509314,8.13672444711604,39.9978650808543,49.6395617680701,981,201
HUC180400510403,183.2777906487,8150.2052162895,266.929440611148,2.62011103503501,0.347870709134189,0.0238953873215944,347.870709134188,0.389045700010829,10.9554323666975,2.34829122034667,19.4691361749177,45.6476348612397,56.6512384018577,1003,348
HUC180500010101,176.836924155129,2477.32471054745,61.7614509669565,0.531995198881102,0.252294508905959,0.00270453112790622,252.294508905959,0.300520285723051,5.30409084689077,1.54403627417391,28.7935578617448,22.1003785287115,27.4277915297742,354,60
HUC180500010102,172.821177800497,153.115934026633,3.74840678277225,0.0303148908169806,0.111323945584388,0.00217409424775764,111.323945584388,0.00460808791451659,0.0452572312981189,0.0138974079961611,0.00290875981315,0.129255406302491,0.129484221084802,0,0
HUC180500010103,990.820102652019,4806.46850525516,140.465651774564,1.15475711281886,1.55176283507731,0.00827199568850356,1551.76283507731,0.104199375696986,26.0498439242466,4.6061690905756,28.616441020603,108.541016351027,134.70540176668,537,115
HUC180500010104,138.834268403871,545.22166450401,7.27280613215995,0.246588063940927,0.12150290775617,0.00132054651164278,121.50290775617,0.0194437857996677,0.282986822234198,0.602430693338095,8.04317475231361,1.17911175930916,1.4633428781603,80,3
HUC180500010105,94.5188112053394,10.1728250675428,0.528864755096975,0.000908522720400643,0.0866528507844341,0.00137046690698621,86.6528507844341,5.28336418678297e-07,1.122855106363e-06,7.25466056374451e-06,5.98263297621012e-06,0,0,0,0
HUC180500010106,36.1404130625595,54.3817366032167,100.996455085131,0.354164785887182,0.0635566878539024,0.000228449587669601,63.5566878539024,0.29728783565748,0.0300785339606391,0.336404656138727,0.154950023433596,0.0260300141971987,0.0962568042840014,0,0
